PAGE NO.,ITEM,AREA,TYPE OF WORK,MATERIAL,DESCRIPTION,UNIT,QUANTITY,RATE,AMOUNT
1,1,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Pipe 160 Ø Geberit HDPE  drain.  0 to 1500mm deep. ,m,60.00, 386.68 ,
1,2,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Bend  160 Ø uPVC 92.5 deg   ,No,2.00, 331.64 ,
1,3,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Bend  160 Ø uPVC 45 deg   ,No,20.00, 332.93 ,
1,4,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Junction  160 x 110 Ø uPVC 92.5 deg    ,No,8.00, 589.87 ,
1,5,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Junction  160 x 110 Ø uPVC 45 deg    ,No,8.00, 589.87 ,
1,6,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Pipe 110 Ø Geberit HDPE  drain.  500 to 1500mm deep. ,m,510.00, 267.74 ,
1,7,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Pipe 110 Ø Geberit HDPE  drain.  1500 to 2000mm deep. ,m,350.00, 371.51 ,
1,8,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Bend  110 Ø uPVC 92.5 deg   ,No,16.00, 108.60 ,
1,9,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Bend  110 Ø uPVC 45 deg   ,No,160.00, 108.60 ,
1,10,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Junction  110 Ø uPVC 92.5 deg    ,No,10.00, 163.30 ,
1,11,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Underground Geberit HDPE pipe and fitting including excavation backfill and compaction. ,Junction  110 Ø uPVC 45 deg    ,No,60.00, 163.30 ,
1,12,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,Floor drain SS Herbish HB200V 100 with ss anti theft wire ,No,30.00," 1,874.17 ",
1,13,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,Fullbore flat grate floor drain BDP 3520 100dia with trap,No,4.00, 902.71 ,
1,14,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,"Rodding eye CI ABC 110 Ø  recessed with 200x200 ss cover plate Manhole 900 Ø 1500mm deep, concrete base,  rings, cover slab",No,14.00, 437.60 ,
1,15,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,manhole to be tanked watertight and tested for leaks.,No,4.00," 7,325.85 ",
1,16,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,Manhole cover medium duty 550Ø Saint Gobain Type 4,No,2.00," 2,474.93 ",
1,17,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,Sump cover medium duty  550Ø Saint Gobain Type 4,No,8.00," 2,474.93 ",
1,18,Below basement 2 slab and external underground connection, Sanitary Drainage Underground ,Floor Drains and manholes ,Manhole cover heavy duty 550Ø Saint Gobain Type 2A,No,2.00," 4,494.03 ",
1,19,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Pipe Geberit 110 Ø HDPE Soils and Wastes ,m,2484.00, 228.07 ,
1,20,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Bend 110 Ø 45 Deg,No ,1120.00, 108.60 ,
1,21,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Bend 110 Ø 92.5 Deg,No ,52.00, 108.60 ,
1,22,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Branch 110 Ø 45 Deg,No,469.00, 163.30 ,
1,23,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",WC Pan Connector,No,126.00, 276.90 ,
1,24,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Stopend access 110 Ø,No,214.00, 193.58 ,
1,25,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Access pipe 110 Ø (ZPW PRICED AS 110x110mm 90 GEB ACCESS PIPE CODE: 367.451.16.1),No,82.00, 427.38 ,
1,26,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Vent Terminal  with waterproofing flange 110 Ø (ZPW PRICED AS 75-110 GEB AIR ADMITTANCE VALVE CODE: 310.006.00.1),No,22.00, 991.64 ,
1,27,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Pipe Geberit 63 Ø HDPE Soils and Wastes ,m,166.00, 138.04 ,
1,28,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Bend 63 Ø 45 Deg,No ,199.00, 60.26 ,
1,29,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Branch 63 Ø ,No,71.00, 85.25 ,
2,30,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Rubber collar Geberit 63 x 40Ø,No,79.00, 74.02 ,
2,31,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Pipe Geberit 56 Ø HDPE Soils and Wastes ,m,153.00, 130.67 ,
2,32,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Bend 56 Ø 45 Deg,No ,155.00, 53.49 ,
2,33,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Branch 56 Ø ,No,63.00, 79.93 ,
2,34,Above Ground , Sanitary Drainage - Above Ground HDPE ,"Above ground soils and wastes in Geberit HDPE pipe with butt weld or electro weld joints, expansion sockets, pipe supports and ""Sikla"" clamps with rubber inserts.",Rubber collar Geberit 56 x 32Ø,No,113.00, 74.02 ,
